star.ID,ind.number,Set,food.treatment,air.treatment,date,channel,salinity-ppm,vol.chamber-mL,vol.animal-mL,vol.water-mL,vol.water-L,wet.weight-g,wet.weight-kg,AFDM-kg,WW.MR-mL.h.g,AFDM.MR-mL.h.g,MO2-mL.h,rsqrt.MR-weight,rsqrt.MR-absolute,Run,Attempt,Start,End,Notes
VW_2023_ind22,22,1,Fed,25,18-Aug-23,1,33.84,240,5,235,0.235,3.1,0.0031,0.000448,0.05726212,0.3962334,0.1775126,1,1,1,1,10:18,11:40,
VW_2023_ind50,50,1,Fed,25,18-Aug-23,2,33.84,240,2,238,0.238,2.2,0.0022,0.000298,0.07766013,0.5733298,0.1708523,0.999,0.999,1,1,10:18,11:40,
VW_2023_ind35,35,1,Fed,25,18-Aug-23,3,33.84,240,6,234,0.234,6.3,0.0063,0.000758,0.01540557,0.128041,0.09705507,0.996,0.996,1,1,10:18,11:40,
VW_2023_ind17,17,1,Fed,25,18-Aug-23,4,33.84,240,4,236,0.236,4.5,0.0045,0.000621,0.05637759,0.4085333,0.2536992,1,1,1,1,10:18,11:40,
VW_2023_ind21,21,1,Starved,25,18-Aug-23,5,33.84,240,1,239,0.239,1.9,0.0019,0.000258,0.02581073,0.190079,0.04904039,0.999,0.999,1,1,10:18,11:40,
VW_2023_ind9,9,1,Starved,25,18-Aug-23,6,33.84,240,8,232,0.232,11.5,0.0115,0.001526,NA,NA,NA,NA,NA,1,1,10:18,10:40,messy and unusable
VW_2023_ind9,9,1,Starved,25,18-Aug-23,6,33.84,240,8,232,0.232,11.5,0.0115,0.001526,NA,NA,NA,NA,NA,1,2,10:43,10:53,"good, straight line, but very fast"
VW_2023_ind9,9,1,Starved,25,18-Aug-23,6,33.84,240,8,232,0.232,11.5,0.0115,0.001526,0.4935718,3.719578,5.676075,0.999,0.999,1,3,11:08,11:40,"good, straight line, but fast"
VW_2023_ind11,11,1,Fed,30,18-Aug-23,7,33.84,240,10,230,0.23,14.2,0.0142,0.00178,NA,NA,NA,NA,,1,1,10:18,10:40,
VW_2023_ind11,11,1,Fed,30,18-Aug-23,7,33.84,240,10,230,0.23,14.2,0.0142,0.00178,0.02949572,0.0235303,0.4188393,0.999,0.999,1,2,10:43,11:40,
VW_2023_ind4,4,1,Fed,30,18-Aug-23,8,33.84,240,5,235,0.235,5.3,0.0053,0.000472,0.04323649,0.4854945,0.2291534,0.997,0.997,1,1,10:18,11:40,
VW_2023_ind7,7,1,Starved,30,18-Aug-23,9,33.84,240,2,238,0.238,3.3,0.0033,0.000371,0.0321314,0.2858049,0.1318772,0.999,0.999,1,1,10:18,11:40,
VW_2023_ind5,5,2,Fed,25,19-Aug-23,1,33.8,240,10,230,0.23,13,0.013,0.001463,NA,NA,NA,NA,NA,1,1,10:17,10:52,"First measurement okay but not ideal, re-running after other animals were removed (anenomes adjusting in yeti at same time as Pisaster)"
VW_2023_ind5,5,2,Fed,25,19-Aug-23,1,33.8,240,10,230,0.23,13,0.013,0.001463,0.02891826,0.2569633,0.3759374,0.995,0.995,2,1,11:16,11:30,Good! Made new measurement to store this data
VW_2023_ind16,16,2,Fed,25,19-Aug-23,2,33.8,240,1,239,0.239,3.1,0.0031,0.000347,0.04916211,0.4392004,0.1524025,0.997,0.997,1,1,10:17,10:52,
VW_2023_ind32,32,2,Fed,25,19-Aug-23,3,33.8,240,10,230,0.23,16.6,0.0166,0.001548,0.04307172,0.4618802,0.7149905,1,1,1,1,10:17,10:52,
VW_2023_ind46,46,2,Fed,25,19-Aug-23,4,33.8,240,2,238,0.238,3.7,0.0037,0.000387,0.03294408,0.3149692,0.1218931,0.999,0.999,1,1,10:17,10:52,
VW_2023_ind1,1,2,Starved,25,19-Aug-23,5,33.8,240,10,230,0.23,17,0.017,0.001848,0.01884635,0.1733701,0.3203879,1,1,1,1,10:17,10:52,
VW_2023_ind19,19,2,Starved,25,19-Aug-23,6,33.8,240,7,233,0.233,5.9,0.0059,0.000682,0.02233014,0.1931787,0.1317479,1,1,1,1,10:17,10:52,
VW_2023_ind20,20,2,Starved,25,19-Aug-23,7,33.8,240,8,232,0.232,13.9,0.0139,0.001482,0.01699582,0.1594075,0.2362419,0.999,0.999,1,1,10:17,10:52,
VW_2023_ind12,12,2,Fed,30,19-Aug-23,8,33.8,240,9,231,0.231,7.7,0.0077,0.000692,0.03311955,0.3685268,0.2550205,1,1,1,1,10:17,10:52,
VW_2023_ind23,23,2,Starved,30,19-Aug-23,9,33.8,240,2,238,0.238,3.9,0.0039,0.000367,0.01380951,0.1467496,0.0538571,0.992,0.992,1,1,10:17,11:06,needed a bit more time (channel 10 also kept running)
