star.ID,ind.number,disc.diameter,wet.weight,food.treatment,air.treatment,time,status
VW_2023_ind1,1,26.4,16.833,Starved,25,16,1
VW_2023_ind2,2,22.5,12.268,Fed,30,16,2
VW_2023_ind3,3,13,4.054,Starved,30,2,2
VW_2023_ind4,4,23.5,17.885,Fed,30,16,1
VW_2023_ind5,5,23.7,10.674,Fed,25,16,1
VW_2023_ind6,6,12.5,2.551,Fed,30,14,2
VW_2023_ind7,7,12.3,2.887,Starved,30,16,1
VW_2023_ind8,8,20.3,6.729,Starved,30,8,2
VW_2023_ind9,9,21.4,13.064,Starved,25,16,1
VW_2023_ind10,10,20,7.251,Fed,30,6,2
VW_2023_ind11,11,24.4,12.577,Fed,30,16,1
VW_2023_ind12,12,25.6,6.03,Fed,30,16,1
VW_2023_ind13,13,8.8,1.61,Starved,25,3,2
VW_2023_ind14,14,18.5,10.818,Starved,30,2,2
VW_2023_ind15,15,21.2,12.82,Starved,30,10,2
VW_2023_ind16,16,13.2,2.795,Fed,25,16,1
VW_2023_ind17,17,11.7,3.422,Fed,25,16,1
VW_2023_ind18,18,21.4,11.699,Fed,25,11,2
VW_2023_ind19,19,17.2,5.904,Starved,25,16,1
VW_2023_ind20,20,22.4,12.817,Starved,25,16,1
VW_2023_ind21,21,10.2,1.767,Starved,25,16,1
VW_2023_ind22,22,11.7,2.597,Fed,25,16,1
VW_2023_ind23,23,10.6,3.433,Starved,30,16,1
VW_2023_ind24,24,17.4,4.751,Starved,30,3,2
VW_2023_ind25,25,14.5,4.433,Fed,25,2,2
VW_2023_ind26,26,13.5,4.354,Starved,30,2,2
VW_2023_ind27,27,18.5,10.043,Fed,25,2,2
VW_2023_ind28,28,18.5,10.043,Starved,25,2,2
VW_2023_ind29,29,17.3,7.509,Starved,30,2,2
VW_2023_ind30,30,13.7,7.462,Starved,25,2,2
VW_2023_ind31,31,16.4,6.617,Starved,25,2,2
VW_2023_ind32,32,22.3,14.708,Fed,25,16,1
VW_2023_ind33,33,19,8.409,Fed,30,3,2
VW_2023_ind34,34,11.4,1.761,Starved,30,2,2
VW_2023_ind35,35,16.1,5.076,Fed,25,16,1
VW_2023_ind36,36,20.7,13.007,Starved,30,2,2
VW_2023_ind37,37,15,3.327,Starved,25,2,2
VW_2023_ind38,38,20.4,8.11,Fed,30,5,2
VW_2023_ind39,39,11.3,2.324,Fed,30,3,2
VW_2023_ind40,40,15.9,7.975,Starved,25,2,2
VW_2023_ind41,41,11,2.837,Fed,25,2,2
VW_2023_ind42,42,14.7,6.921,Starved,25,2,2
VW_2023_ind43,43,15.8,5.095,Starved,30,2,2
VW_2023_ind44,44,13.7,3.871,Fed,30,2,2
VW_2023_ind45,45,11.4,6.701,Fed,30,1,2
VW_2023_ind46,46,13.7,3.68,Fed,25,16,1
VW_2023_ind47,47,17,6.193,Fed,25,2,2
VW_2023_ind48,48,12,3.434,Fed,30,7,2
VW_2023_ind49,49,10.5,1.566,Fed,30,3,2
VW_2023_ind50,50,9.2,1.633,Fed,25,16,1
VW_2023_ind51,51,7.7,1.199,Starved,30,3,2
VW_2023_ind52,52,10,1.408,Starved,25,11,2
VW_2023_ind53,53,10.9,3.214,Fed,25,2,2
VW_2023_ind54,54,13.5,2.827,Starved,30,3,2
VW_2023_ind55,55,9.1,2.025,Fed,30,2,2
VW_2023_ind56,56,11.5,2.82,Starved,25,2,2
